Iteration	Equisetales_sigma2	Psilotales_sigma2	Ophioglossales_sigma2	Marattiales_sigma2	Osmundales_sigma2	Gleicheniales_sigma2	Hymenophyllales_sigma2	Schizaeales_sigma2	Salviniales_sigma2	Cyatheales_sigma2	Polypodiales_sigma2	Node_0_sigma2	Node_1_sigma2	Node_2_sigma2	Node_3_sigma2	Node_4_sigma2	Node_5_sigma2	Node_6_sigma2	Node_7_sigma2	Node_8_sigma2	Node_9_sigma2	Node_0_trait	Node_1_trait	Node_2_trait	Node_3_trait	Node_4_trait	Node_5_trait	Node_6_trait	Node_7_trait	Node_8_trait	Node_9_trait	ll
78	10550.398	15595.452	16261.12	13312.656	20090.318	16651.488	13864.812	17799.154	19656.695	8840.723	11187.855	14703.284	16653.744	15169.669	9733.414	22535.91	12685.665	16477.752	10700.969	22019.137	20183.38	531.69574	480.48877	470.07196	459.19717	413.17664	376.79254	369.77274	346.2161	265.02527	237.57758	-77.50778
79	17475.908	10824.361	18051.402	20782.328	15168.295	18518.168	10489.11	13541.167	5935.3237	16496.855	13308.683	18401.361	12787.5625	15227.575	16704.629	12959.896	15464.749	16237.023	11471.479	6482.912	12419.024	256.2698	277.9911	359.07162	281.62912	290.1329	271.88324	290.0411	242.69511	215.8964	210.192	-76.35784
80	10118.496	19182.35	9940.707	7985.0	8368.935	16175.973	20661.07	12855.486	21982.648	11554.748	14002.009	10671.027	15000.875	12655.335	13901.699	13491.668	11782.779	11376.433	18418.27	11980.951	16298.086	387.12494	372.34647	372.5354	361.94885	366.26752	338.613	332.8325	298.6555	261.3103	242.98186	-75.83154
81	13056.535	20390.898	11583.435	7653.598	8388.296	14902.459	22168.312	10873.154	24460.469	11471.084	13234.477	9865.756	14547.683	16594.941	11344.277	13752.743	12407.92	7546.7773	22213.877	14627.326	16887.455	356.88174	350.58197	362.14926	345.28326	354.62323	328.6148	324.0103	289.24948	249.65283	232.85257	-75.6111
82	11367.995	14506.01	17491.564	17907.715	9137.673	14874.36	8653.372	13919.023	7164.6465	14607.002	15247.236	17899.332	13321.419	13030.699	18564.85	13555.328	17080.28	13307.832	8746.445	14557.063	8105.627	305.4499	321.87387	364.17288	327.10907	340.34027	311.35254	322.26947	286.63928	226.80225	221.48198	-76.32288
83	16697.492	15086.295	11012.02	10543.589	26876.408	16457.932	22876.068	13629.969	23161.666	10356.335	10020.183	9298.696	14119.474	15280.761	11916.387	14786.163	8781.323	14694.761	21766.258	13177.4	23545.465	337.71735	328.76685	359.28412	318.2875	310.56308	297.78586	294.3736	266.6043	235.10022	215.59169	-74.679535
84	11460.532	14968.164	17469.875	17325.826	12778.931	14645.961	9377.135	14014.539	8361.26	18230.635	16920.52	20707.545	12679.617	12013.146	19846.87	12722.872	19325.72	13091.297	7332.3555	17660.977	7714.7666	297.86063	311.94608	353.1305	314.9872	324.48022	300.2962	310.64215	283.5814	223.7356	219.76645	-75.85558
85	17124.04	12056.186	11265.393	14417.591	12426.879	14391.736	13868.131	15849.643	24778.04	10366.76	6918.183	8858.276	10581.252	20984.113	10747.206	17553.094	9351.549	9400.71	23605.18	11347.394	21562.504	190.5141	220.57166	324.0385	233.04091	268.94543	265.35785	270.26154	241.88406	220.0552	206.20049	-76.47857
86	8123.6733	19541.744	16816.629	12916.488	18334.36	19878.332	16782.057	11548.425	7553.6685	14746.789	24022.57	14660.257	18577.797	8634.602	14986.6045	11405.079	17932.648	20227.932	8485.677	12835.982	8792.091	363.06067	349.82364	365.0089	336.46942	329.5831	295.31366	300.84113	274.1562	224.87451	219.52173	-75.13372
87	9792.612	19985.578	9749.18	13213.6045	17307.115	13954.484	15762.11	10649.8	10191.683	13773.652	13583.643	16911.793	11760.697	11483.935	21033.963	7321.902	12964.891	14730.273	12120.617	18141.766	24376.076	281.61697	287.92822	312.35208	287.502	291.1198	276.7728	279.23395	259.15955	211.52478	201.02594	-74.497284
88	18544.748	12135.271	20570.494	14832.374	21134.338	15020.974	12182.152	19219.65	18374.865	13497.164	13049.315	7030.849	14177.439	17149.404	8875.798	21390.459	14834.284	14636.62	16177.423	10305.094	8889.521	237.76018	261.83713	349.35376	264.16135	280.7041	271.91803	281.7724	249.34174	225.371	219.27516	-75.90527
89	11321.214	19961.217	12435.877	12410.618	16253.833	13359.739	19191.754	12161.409	7572.349	15912.48	15734.746	6238.3384	19163.553	12156.806	15307.087	16425.584	15709.002	6930.6377	12034.486	13482.395	22345.25	358.84174	343.14218	357.2277	330.10693	321.17297	288.79327	287.08362	263.32318	217.32013	207.37277	-75.11261
90	24048.402	9929.64	17139.086	14512.499	17083.896	13256.924	16851.691	17356.885	15150.715	15499.387	19440.846	17071.242	17002.725	12303.262	15956.475	12734.2705	15878.51	18576.557	11595.625	18818.65	14124.484	245.36624	276.07913	351.94763	278.16272	286.3152	270.3013	271.8534	255.78757	215.74373	208.9868	-76.34692
91	6728.355	16010.908	11301.053	13356.721	12409.659	15127.859	12720.919	9581.425	13188.011	14314.932	10533.659	5892.3647	13386.101	16601.969	10578.145	9163.557	12128.989	11833.895	17059.963	10462.805	16818.955	360.05972	354.6456	374.4488	348.88275	348.64078	325.52347	326.16907	287.03485	251.08464	235.80312	-75.06462
92	17826.488	10144.052	17255.268	15063.0625	17222.453	19593.473	17329.164	15342.499	16100.574	13172.047	12831.527	21305.115	14514.021	11844.971	12126.271	19418.852	14463.022	16665.406	9562.656	15530.296	10335.97	316.36127	326.92975	383.2574	322.05475	321.76242	300.44135	303.62836	282.2466	237.82654	229.15448	-75.505165
93	11460.227	19285.123	13952.236	13746.922	15121.816	10824.63	14968.636	10559.669	12213.118	7601.2104	13088.002	12741.839	8256.546	16540.73	17327.775	15431.615	15995.295	13618.521	20564.844	12358.167	18899.35	317.0539	317.38223	348.48734	311.37567	312.58975	286.52615	283.7749	252.27199	215.16486	199.86029	-74.83733
94	9661.262	17632.99	25841.145	7353.3213	18452.834	15338.197	13928.412	18435.367	11120.977	22562.488	15105.615	6647.038	10780.846	14675.574	11276.119	9550.407	9638.291	14622.919	16036.947	19862.264	17149.404	244.34796	259.19678	319.042	261.72922	271.88223	266.64355	274.55408	247.41022	205.93457	201.64685	-75.145836
95	15878.297	20142.29	14630.703	5270.8516	18457.463	11539.387	11781.544	18445.094	15207.678	13751.576	18046.928	9357.222	13519.489	17606.121	14040.895	10993.804	14308.339	11945.2295	20007.682	9313.855	18888.809	312.2894	306.96506	342.17438	297.15875	300.97977	285.08673	288.24704	253.85275	230.19608	218.03235	-75.17175
96	8496.382	9935.74	14120.066	9653.93	18325.27	9626.221	9042.152	13530.375	12307.146	17952.96	24541.338	15365.02	12307.769	12344.103	17918.357	11809.059	13319.768	10921.865	17061.102	15523.929	10434.376	362.98944	359.22775	402.66232	342.4565	338.13632	316.0722	316.19656	283.2693	238.05582	231.68362	-75.973854
97	14221.165	13790.227	13390.008	9530.036	18879.355	16127.605	14533.344	14962.355	12037.447	21645.432	21817.883	14701.152	17074.645	22172.477	16817.816	17281.502	15248.457	16844.205	7911.3237	10548.094	14933.93	440.321	407.31305	422.49677	380.42215	361.0036	326.69662	325.95602	306.53467	269.08896	257.94183	-76.403244
98	13040.719	16580.908	15137.702	16601.764	10178.259	13097.979	13957.307	12806.063	12471.115	8302.944	9546.019	15351.969	12900.202	8853.412	11380.773	11621.664	13455.831	13017.694	18623.244	18137.822	10349.434	296.89236	311.35593	338.58203	313.99347	324.30276	302.51666	302.3117	268.0485	214.0527	205.54819	-75.36087
99	12430.921	8381.091	11700.924	6900.958	16703.785	16121.239	16823.207	14172.275	13854.779	8263.62	17194.93	13567.887	9961.737	9743.139	18473.082	13794.883	15375.617	15425.803	11674.328	10472.738	13799.422	432.40216	412.73773	435.79953	376.40457	359.67084	321.3143	318.89197	289.66302	248.57532	231.16293	-76.19367
100	11903.404	24244.6	19290.955	25772.602	19712.035	12447.173	12374.348	16121.439	13189.607	21640.291	12399.687	16454.652	13627.044	18321.984	9758.268	11727.77	10912.692	14212.108	16006.938	18568.443	14822.532	281.84436	291.12906	329.7951	292.0312	297.02554	286.5601	290.33414	264.35638	222.03195	215.90082	-75.26263
101	10306.215	20286.643	18743.316	14047.082	19278.521	7399.2217	12694.548	11394.652	14866.617	24292.67	10762.468	10882.553	14914.929	17147.277	9352.369	14883.371	14244.783	16525.846	12458.621	11150.691	10901.729	276.5567	283.60892	330.62152	281.81613	284.31448	266.1306	260.81583	252.02663	227.25015	222.29112	-75.15562
102	21272.61	9982.955	16802.922	17778.322	13602.803	26261.078	8763.094	20098.463	11068.496	4252.5303	11068.918	16183.349	10337.912	16057.639	14016.825	12082.74	15051.676	13014.145	12636.787	19149.814	19323.453	227.84521	257.0476	353.63333	270.09796	291.62903	286.8082	307.99152	260.37537	199.23055	181.02658	-76.67853
103	10112.853	15567.011	12671.6875	11838.264	13793.436	11369.34	19120.871	9050.797	16551.459	32169.855	16885.766	12014.498	16577.73	12287.83	9922.152	15262.147	9176.324	14789.082	15830.956	12478.896	10280.937	510.01538	457.02643	445.86426	434.85034	403.08392	372.01013	353.0504	331.65247	291.11786	282.65637	-77.685196
104	19756.094	11747.078	14315.137	11129.348	20043.967	19191.719	10055.976	9021.851	11651.205	7447.5747	11499.497	11745.6	12314.367	9194.8	21518.521	9428.498	18291.014	13907.241	11116.555	14322.019	8959.055	196.9732	231.35544	294.0136	247.41061	262.04147	262.14984	281.12122	246.18005	204.70712	197.75815	-75.925674
105	11719.708	14204.643	20229.842	14116.687	14349.8955	14266.754	9266.376	8953.145	9122.114	7265.733	13342.144	12253.006	14798.056	12810.754	15542.046	12620.095	11313.0	9790.848	10622.352	10508.214	16025.879	292.116	305.95093	355.89185	304.80093	310.5797	295.03955	303.6899	268.27914	225.4094	208.96173	-75.3252
106	8013.8374	14260.863	13378.891	15149.6455	15007.414	8725.759	17120.92	7699.647	6988.48	5909.5625	11286.027	24729.29	15235.375	13753.071	20795.95	12259.762	11274.958	9419.808	12721.768	10594.348	20562.57	224.14922	247.01584	311.06155	251.21729	258.76163	243.22693	241.3508	225.69073	190.6789	179.01021	-74.9238
107	21243.842	15815.564	16151.186	12546.245	16543.775	21789.27	11269.508	15690.451	24525.639	29469.412	18169.332	7908.525	13048.258	15105.558	9157.092	20159.047	17001.281	17595.63	15351.266	18163.182	8893.685	328.32468	334.46033	370.9065	333.29034	345.31653	330.64124	340.34232	306.4018	266.0588	260.21765	-75.69977
108	18996.604	18837.09	16450.525	11920.592	17318.705	17783.73	10366.009	15219.125	19425.094	27558.67	15304.868	9964.635	10719.834	12336.712	7595.1816	19177.3	12848.978	20459.465	15232.455	13394.389	13896.728	350.33615	348.41284	369.6619	344.76175	347.64417	332.0926	341.06546	303.75912	268.54254	258.59033	-75.4968
109	7716.9443	10877.428	18125.148	18285.484	13718.332	12021.766	15682.612	8540.853	11610.641	7392.8525	14721.987	14430.066	13305.396	14463.546	18860.963	9996.502	17642.629	12106.131	11183.738	16356.695	16896.945	210.6558	244.59207	334.54263	257.4701	270.8526	256.35004	258.925	243.22943	200.20685	189.23987	-75.83349
110	22732.598	18569.984	10214.471	10161.7705	17090.137	8224.1455	10255.447	20827.287	17660.438	23392.977	12350.85	12816.962	12646.902	13767.927	10487.93	19346.559	11540.96	16232.719	13656.342	13171.871	12068.448	384.35144	365.93762	370.4765	353.69818	339.99097	316.1417	308.10883	290.7423	255.39117	246.6124	-76.207146
111	8364.395	11573.883	17515.703	14885.897	14640.78	11546.123	19658.494	8344.086	8461.24	7148.942	15036.381	14091.816	13508.83	13569.659	15748.723	10065.772	16444.941	12242.131	13766.102	11798.904	17032.879	291.89423	302.9961	365.04855	298.35602	298.90332	269.78046	266.5567	245.4974	205.03322	192.45795	-74.9662
112	7843.658	9892.154	13956.721	15437.4	10680.333	11859.451	10262.795	10579.698	14896.478	11869.419	10766.913	19406.355	10074.051	12821.094	13001.826	9613.826	20547.045	15905.866	9074.357	13549.473	20124.184	323.85022	334.94516	388.1571	334.963	341.2755	308.1106	311.84338	288.96338	245.86612	227.4615	-75.71635
113	5879.129	13491.488	12798.506	13697.402	12505.415	16884.139	11506.528	11816.156	9206.697	9788.934	13840.095	21693.064	9444.77	10072.494	22347.295	12863.506	10192.965	24631.398	9998.247	14024.781	16301.18	270.96112	284.686	327.88013	290.0443	301.55203	288.53265	304.4135	266.9819	218.7047	206.87148	-75.19447
114	20641.79	13592.48	14086.67	12770.269	14667.081	12330.972	13717.639	14145.918	17681.588	18217.549	12419.189	8475.301	16814.16	18243.627	9960.721	15276.2	13128.881	7236.2886	14350.758	14322.988	10647.413	338.4918	337.88354	382.21753	332.76212	332.3876	310.21408	308.95828	284.8938	246.65964	238.55945	-75.59126
115	10801.232	18043.848	14414.194	16867.047	13688.719	18034.074	11270.9375	11128.445	10202.652	13788.807	12362.08	16626.75	12317.326	8389.063	18888.035	17460.148	11208.221	15457.98	14118.101	11390.654	19506.887	407.1644	394.4445	399.6171	377.3623	366.04022	341.04254	345.12595	300.77814	254.63937	236.75275	-75.564354
116	14164.128	11423.66	13262.918	11790.143	8967.962	10959.855	13491.861	16376.611	21263.787	13768.544	14791.3955	11026.4375	15668.934	20777.354	12014.957	11483.7705	18521.771	12084.48	16590.273	16287.908	9995.377	266.45438	293.80392	371.2125	300.69464	318.6175	293.44858	291.94867	269.6246	232.15276	224.79344	-76.54748
117	15369.02	7995.9507	15124.917	15930.55	29371.744	7732.5254	22060.67	11518.693	11168.166	14968.721	13373.646	18415.617	8725.409	7592.618	18708.44	14672.523	9958.146	17587.56	15697.246	19586.951	19451.158	330.894	333.03705	381.7486	312.46732	295.16248	274.9823	257.14246	255.1395	208.8746	201.23643	-75.53378
118	11523.11	9440.258	20346.416	12616.292	23125.602	10560.404	18231.854	9411.537	8759.05	14221.992	11133.36	18641.154	12867.862	10549.976	17318.078	10721.061	8975.6455	11605.029	17340.918	19853.078	21261.21	286.3908	299.05438	365.96918	289.93756	287.1515	274.2972	270.19788	252.13426	201.26895	194.69415	-75.08048
119	7501.1562	15432.984	9973.591	15919.722	14469.106	16115.184	8078.7476	20218.617	14405.688	9076.798	17350.562	24182.229	12997.809	17308.55	12950.557	12272.22	17261.9	17387.484	15331.397	9476.582	15630.592	312.50455	319.7943	351.89658	320.4748	328.52917	309.73138	327.4577	273.93604	241.32945	224.75352	-75.53505
120	9804.144	16120.871	8077.761	16948.055	12495.187	12108.879	6430.585	13789.568	13866.531	8283.922	17671.49	21907.871	13426.374	13851.503	15288.646	14302.404	16927.023	19329.793	10036.536	9388.633	11824.757	302.42355	311.9286	334.79074	315.05774	327.04562	306.811	328.94684	280.81128	244.72722	230.07835	-75.95096
121	15270.126	11182.373	24083.77	13558.689	14948.406	13812.681	33300.547	13872.179	14074.571	21245.727	11126.918	8872.032	15317.806	13096.68	11541.346	12581.52	12993.496	9323.24	12949.605	26475.328	16894.463	355.86273	354.6775	406.86578	344.78918	337.91013	310.3095	302.4524	290.12958	228.0249	219.99652	-75.52983
122	16703.18	13418.387	25890.234	15096.226	13395.475	15425.568	31112.34	10246.053	15802.07	16820.527	10912.744	13045.035	15675.779	16613.357	13365.614	13580.262	14545.796	8114.862	13557.436	21542.668	18228.828	313.35672	323.26288	385.5039	319.61868	321.99805	297.10883	292.57413	278.36823	228.34572	218.17804	-75.37266
123	15943.804	10888.46	26501.068	15179.351	12900.62	12584.172	22163.113	7889.9556	14276.785	13798.054	10139.9795	12822.671	15234.285	22904.555	13671.432	15118.658	17805.64	9767.42	17279.111	20790.12	17123.451	295.69702	311.75598	409.1369	311.00946	318.19476	291.1215	286.33997	269.7686	220.19293	210.67331	-75.4596
124	11746.955	17955.684	6664.468	11786.623	13204.9375	16111.648	8788.578	20586.664	13927.974	10380.294	20502.201	11490.3545	13354.504	8563.8125	13267.143	12808.348	11253.666	10122.443	11271.851	9400.566	11588.649	420.66147	394.19882	377.76602	379.41962	371.29355	345.97495	350.77545	311.06873	271.0566	255.65631	-76.3069
125	13446.864	11399.022	7163.0547	19136.287	14059.586	14555.189	9374.067	14431.416	13520.869	10459.423	22219.617	10431.67	15017.149	12243.135	15688.416	15034.589	18191.645	12489.504	14165.466	12203.839	11381.544	522.9481	477.74908	442.4754	451.09836	425.15485	372.048	370.64893	326.0297	273.02155	257.85046	-77.96074
126	13680.797	14418.416	10356.039	13527.395	11411.553	14570.814	16935.453	15880.6	16572.324	18100.98	12605.864	11068.285	19268.945	20366.547	11797.824	19013.967	12365.335	18365.63	15487.463	11977.409	18385.68	422.49503	397.62036	402.09177	385.5852	374.17847	343.75803	334.86823	307.74377	269.03735	252.0368	-76.25791
127	12507.574	14122.006	11119.853	13106.3	11528.397	12619.722	17245.035	16325.185	13153.08	14137.017	14161.359	12385.765	17468.992	19333.352	12342.043	21240.783	9958.526	18717.023	10798.7295	12422.791	18055.07	453.57602	418.8005	418.16217	400.30383	373.92783	343.59106	330.46112	313.6636	266.50745	248.1001	-76.7792
128	18385.154	16994.215	10426.379	14361.259	21992.463	17167.697	13789.057	9126.656	13624.641	10477.543	15880.509	19715.758	17649.023	12990.102	12686.027	9106.929	15956.459	6542.369	15921.27	15790.848	12829.19	195.51454	232.03528	285.76263	241.37415	254.32114	254.1427	259.7078	239.60727	203.9611	197.03746	-75.26305
129	10393.488	14688.765	9769.386	10153.798	21214.932	13765.603	17329.082	13119.431	14816.215	14130.709	10328.826	16408.283	18602.67	17847.002	20877.043	13822.867	10048.738	8317.399	15679.173	14418.731	13912.03	113.49755	169.08713	269.61835	192.7028	218.03757	220.16422	225.23953	213.86798	192.33682	189.27502	-75.97681
130	17962.293	16021.218	13107.537	18277.727	9258.938	15876.889	12495.449	10916.169	11050.745	15521.915	16912.727	14241.931	11288.935	10763.803	9082.963	9300.515	18979.781	9624.945	11301.526	12584.111	16974.309	483.6417	458.4662	448.28305	444.87085	431.9561	370.75012	367.40497	332.87	277.82605	260.09457	-76.83056
131	9948.009	14852.007	16876.879	9275.359	14008.126	14030.279	9523.54	12626.703	16793.406	15127.3545	13277.155	16768.01	14856.823	17692.906	19608.332	16636.934	9753.142	21147.322	17453.223	10150.342	12902.885	259.33804	279.26877	344.435	284.6919	304.01562	296.3393	310.88824	267.78986	240.4706	230.64252	-75.527664
132	16132.144	14463.919	13832.995	14102.316	12762.026	15545.781	12109.122	16982.809	14071.176	13130.796	16297.4795	14880.787	19488.2	9924.319	7042.183	16336.725	16571.266	9081.828	12204.654	20649.902	11428.564	318.16977	330.03714	358.80408	329.19064	337.3785	313.90158	316.56512	290.17093	231.63045	223.17184	-75.59837
133	11656.695	15294.013	10436.138	13854.74	11951.075	13416.621	17709.129	12076.877	13331.904	14838.727	10823.422	15729.75	9092.531	16239.702	23680.195	11367.226	9613.166	17761.816	15488.098	9451.527	12876.21	292.65787	298.89398	340.10645	299.13635	305.6533	289.74457	287.2325	262.49905	234.7582	225.37897	-75.22471
134	19631.74	15893.159	13934.391	11383.498	17609.06	16016.543	13125.863	16413.418	17016.367	12604.626	19788.752	14579.669	9413.252	10445.696	8125.2695	11956.285	22070.812	12160.33	10501.102	18650.508	20713.293	408.25043	395.15588	404.18262	385.20258	376.41397	334.22308	334.16986	311.1181	254.54485	235.8167	-75.67735
135	9868.88	14472.971	15161.758	15307.598	13802.239	16681.195	17540.525	11223.635	13158.776	16053.397	7937.6006	14468.375	16415.828	13882.66	14370.862	16602.254	10465.43	17099.268	19574.963	14990.649	9256.74	213.35345	247.95477	313.1442	257.34125	279.66284	271.697	276.20218	249.05432	214.59544	210.24986	-75.43148
136	17145.201	15902.044	19458.115	15201.008	13395.347	10478.293	12789.318	12110.438	13886.805	11972.064	17357.861	21093.945	10473.597	19586.729	13427.77	7559.5703	17775.152	13750.305	11310.206	14571.676	19331.23	397.2022	386.69284	415.7419	372.51526	366.297	323.13312	316.5637	297.17242	248.88815	231.38428	-75.898056
137	15818.053	19796.756	18430.498	11984.551	12669.923	9789.419	15224.859	11570.561	16155.114	9594.839	13914.617	22158.484	11665.047	15993.846	13500.575	8685.484	16936.615	12989.47	12512.823	14759.564	15925.901	372.10913	362.47723	384.5197	350.32068	346.15002	307.06958	298.8833	282.11154	236.78668	221.33133	-75.475685
138	15525.69	13940.239	10393.687	17303.385	10957.963	19756.791	13030.749	15865.764	14221.708	12587.916	17152.004	12329.784	12220.866	16684.664	15366.733	18211.695	12279.607	20671.082	14686.355	9925.389	18078.795	337.9044	341.4487	370.61823	339.43683	346.65402	324.9242	331.38657	290.09027	256.01788	238.69414	-75.86943
139	12781.295	15220.766	14452.971	10102.875	15116.928	14947.28	16244.922	11918.75	14087.517	15414.068	10582.847	15298.535	16272.692	11678.037	15957.494	10617.105	12727.375	9153.137	14621.385	14450.173	11083.252	342.78125	339.2238	367.63254	328.80945	328.15918	306.6162	305.88824	279.30106	237.14952	228.7605	-74.93938
140	14864.477	19328.43	19415.129	10737.248	16889.824	14090.875	14907.25	11671.869	17156.879	18299.354	11855.504	17326.338	15670.039	15992.396	12075.402	10078.558	12507.682	6036.1035	10082.143	19441.57	10559.87	390.37997	372.52728	393.88446	358.89404	352.07324	326.99173	325.33722	306.5967	251.24103	242.59987	-75.26747
141	13857.145	12287.115	7400.3154	17073.082	13744.234	13715.375	13272.674	16482.672	15593.652	10953.324	15332.289	11348.281	12728.916	7280.604	5636.4062	18808.764	9163.015	28678.135	12324.87	11593.602	18519.299	247.91574	269.80823	303.8626	271.85718	289.0597	278.7203	287.84238	258.5314	227.7134	213.87616	-75.83129
142	15545.662	22398.738	10344.076	13244.477	20921.01	15352.817	18062.148	12205.807	12637.148	12276.715	10464.242	15871.288	16562.387	32444.098	17692.03	13773.232	23393.625	8217.152	14371.068	18797.754	9719.334	260.55078	269.70123	319.2463	271.6801	280.22095	262.64056	264.6646	246.43826	204.56566	200.1222	-74.58982
143	13964.735	13244.704	20447.04	10111.714	11753.23	7367.002	13222.075	9019.114	18268.664	14212.42	14718.281	9533.399	10777.689	7295.5405	10727.606	11279.421	9401.203	21995.924	15625.748	11318.115	21547.19	267.0529	283.758	322.94296	284.78857	294.03223	279.68195	267.85437	261.06177	234.38773	220.18832	-76.020065
144	13567.136	17253.803	9154.682	17767.186	18870.678	9429.883	17174.445	19959.56	11597.417	13574.668	12826.218	19957.086	10882.034	16568.611	18298.027	12789.989	17585.967	7296.473	13073.643	19249.256	7867.752	349.9778	341.25702	355.36835	327.0469	318.40527	283.58246	279.20633	262.0199	212.36624	208.18256	-75.24008
145	9182.041	13506.112	23041.617	8621.74	11495.023	17462.797	10368.5	9473.682	16811.738	10383.581	8889.683	7732.71	17964.23	12674.1045	10595.277	14334.645	11061.089	16631.27	14602.573	9830.198	6501.846	202.31586	249.7275	319.36505	259.2102	287.70087	281.99405	298.1813	258.26553	229.25128	222.94505	-75.94243
146	15791.345	17570.41	8491.084	21498.379	17035.9	11955.817	19734.344	16519.889	11231.954	16488.977	12542.728	22250.959	9400.907	13756.495	17802.635	12518.35	16314.243	9825.962	11915.84	19906.105	18323.451	408.5862	392.6052	382.46884	372.34903	357.40082	317.2781	310.25787	292.485	232.58755	221.54492	-75.73473
147	13789.543	16635.68	10899.618	7935.731	11299.846	18154.92	9747.246	14321.432	20720.346	9617.265	16061.973	9006.05	16067.259	10378.799	9993.623	14112.326	9156.018	16643.139	13273.23	10097.934	19859.895	202.48251	243.01352	287.32373	253.52908	285.09378	281.99725	300.65045	261.0788	234.68256	216.93506	-76.15475
148	13324.965	19181.215	12543.757	12907.61	11860.242	16235.784	18248.395	14958.574	13329.959	18475.938	14639.663	8448.983	14898.324	22373.717	15077.578	12830.818	17476.875	15766.35	13195.986	15131.4375	13010.955	279.92914	292.69052	337.5849	296.3956	308.82135	286.41562	287.4936	265.94806	227.81406	220.93835	-75.43508
149	15117.043	12350.273	8467.335	18786.695	16438.184	13476.16	14251.564	18129.625	16454.166	15653.027	13172.487	13396.037	18348.055	9854.077	8201.908	13518.3545	11704.115	7747.8496	12244.116	12077.913	11596.797	414.22922	388.16675	392.85895	378.57483	363.20364	334.7555	331.914	305.18054	264.5223	252.70262	-75.99774
150	11830.148	14772.66	24190.578	10009.676	17360.842	13383.459	8523.09	14794.443	8054.791	17977.871	15862.436	14529.907	10727.32	15297.688	19646.969	12973.846	15939.668	8368.504	18937.924	16020.836	10649.678	275.04218	288.52518	351.1704	291.08044	303.0332	292.6117	301.24286	257.66296	209.65205	205.67279	-75.65342
151	16370.007	19984.379	11162.129	17864.541	16910.566	15801.859	11857.449	15078.916	16453.54	8274.59	12042.855	22326.291	21629.934	10515.342	11001.124	16935.582	12707.036	9202.782	12252.234	14069.243	26388.967	398.58566	375.15994	376.63107	365.84238	354.93112	330.0035	331.51898	300.14587	251.61868	221.73508	-75.43955
152	9229.387	9784.593	24904.023	22591.729	16444.096	13220.575	15032.224	13253.119	18466.318	10366.611	15241.624	15621.695	14154.824	11846.09	14809.646	18874.494	7609.5083	8480.523	6731.776	14540.705	13509.681	451.5984	431.66785	464.78516	407.6061	372.11694	348.58002	343.414	328.90265	272.74695	254.1553	-76.45443
153	15978.585	19818.082	8397.965	8640.425	15872.423	16403.746	12385.646	8334.996	9763.322	9346.431	11896.424	11686.036	7882.9907	15551.238	13794.133	9672.536	24329.719	22805.666	23319.25	14442.182	16751.611	313.03305	313.18115	329.3461	310.50473	317.05902	293.54492	304.38864	255.8176	211.37158	200.51796	-74.554596
154	11351.452	12526.339	20408.875	24133.916	16613.197	14926.8955	19722.584	21508.879	12162.035	18246.36	16117.381	14149.264	23613.736	12318.125	13914.697	14488.755	11864.519	8490.639	12227.033	17103.182	11956.273	302.06845	318.5765	370.2334	314.2427	312.4229	292.6162	291.1908	271.2448	226.12311	219.92844	-75.703384
155	13635.884	11226.215	29869.127	12732.1455	8666.578	12990.547	14703.298	18143.602	12637.751	20295.738	17674.81	15411.849	14794.951	12504.641	11032.065	17193.848	12890.352	11285.425	11264.049	11912.887	13187.533	273.8688	301.70865	370.34973	305.2747	324.94574	301.73932	300.73856	279.40662	244.26927	236.08795	-76.87751
156	9507.777	13736.713	8396.531	10975.209	12988.107	16238.277	17423.305	10514.549	17815.0	11786.287	7426.191	14078.531	15707.849	11066.111	10394.866	8373.206	17167.96	9675.498	14245.245	14773.787	6209.8525	321.64703	324.72577	347.67136	321.9486	325.49744	299.43735	299.5052	274.3908	231.95503	226.03264	-74.65021
157	10485.88	10338.73	10585.602	16565.578	11425.044	13445.273	13023.034	7967.216	11688.934	9258.55	9098.76	16257.46	23973.0	18576.238	12566.458	9265.147	7203.9263	10327.349	10088.799	13183.383	7205.7334	316.09845	326.47217	383.64746	322.83588	323.84222	308.81146	309.30045	284.02664	233.56413	225.49193	-75.38788
158	10369.252	27379.643	8683.819	11316.583	13797.212	16278.343	14031.403	10043.813	13491.682	20315.645	12470.545	13494.074	10609.069	9944.31	15230.029	9113.253	16792.318	10663.072	21385.156	15630.726	11582.782	288.64233	294.87973	304.05963	298.8341	308.73685	294.23978	297.81207	265.36465	227.1186	221.31406	-74.5658
159	16759.328	25455.174	7784.8086	14120.08	13377.831	11661.121	17116.463	8752.971	20337.607	17670.7	15025.889	13607.279	14649.831	8320.152	14857.702	9662.735	17320.82	10401.223	18689.84	17008.482	12415.128	301.61395	305.44177	310.56284	306.54535	313.28882	291.37103	288.00806	270.48672	234.01874	226.45403	-74.93002
160	15430.747	26104.967	6582.7554	9901.14	13168.104	10875.135	18701.322	12172.792	18492.49	18301.656	16157.056	13216.365	11755.954	8111.1016	18108.129	9377.43	18359.52	9760.539	13523.125	15244.619	11416.124	225.92314	243.08907	262.07257	254.59294	268.41895	253.84645	252.66302	243.20097	215.81273	210.98618	-75.066345
