Iteration	Equisetales_sigma2	Psilotales_sigma2	Ophioglossales_sigma2	Marattiales_sigma2	Osmundales_sigma2	Gleicheniales_sigma2	Hymenophyllales_sigma2	Schizaeales_sigma2	Salviniales_sigma2	Cyatheales_sigma2	Polypodiales_sigma2	Node_0_sigma2	Node_1_sigma2	Node_2_sigma2	Node_3_sigma2	Node_4_sigma2	Node_5_sigma2	Node_6_sigma2	Node_7_sigma2	Node_8_sigma2	Node_9_sigma2	Node_0_trait	Node_1_trait	Node_2_trait	Node_3_trait	Node_4_trait	Node_5_trait	Node_6_trait	Node_7_trait	Node_8_trait	Node_9_trait	ll
18	19452.03	18220.38	10890.942	14976.874	14473.191	17895.678	18454.559	12576.529	19254.012	18883.982	12683.875	12335.735	5740.453	15180.104	21021.871	13802.226	17406.447	12803.011	18904.812	10241.305	14355.604	371.6926	367.91907	375.05823	355.48926	353.29303	322.98688	321.08072	288.0006	259.44055	247.36404	-75.317894
19	15245.753	19056.465	19135.922	17276.047	14279.398	9317.72	17140.9	16870.006	14817.431	15366.631	15071.08	14002.035	9138.492	18112.861	15694.552	9336.836	18071.797	11229.576	11574.766	21252.455	10635.032	408.59283	396.1284	411.91064	377.20218	366.56927	319.1817	307.7055	296.69073	237.47046	229.75418	-75.976585
20	14469.4375	12031.365	13390.596	13786.281	20827.645	22617.36	10541.447	16471.562	16105.196	10551.133	8968.235	11857.676	14026.493	13230.603	14083.916	15503.984	8047.8345	16197.569	15183.173	6862.375	27840.822	278.43088	294.25125	350.5161	294.2648	302.60712	296.4695	313.10577	266.61313	245.70174	220.41246	-75.23371
21	10532.443	15249.461	12451.696	12059.1875	16800.023	11651.05	20427.686	11426.102	13591.988	17807.424	15377.787	13262.058	14238.047	13721.655	13736.568	12204.746	24734.785	11457.035	12213.153	17872.04	5478.1743	338.32315	334.92682	364.18402	326.5818	324.64597	284.2178	279.16	266.89832	223.0991	220.17	-74.95171
22	16121.763	14809.802	17539.672	15197.195	11087.608	17699.707	10298.129	13098.266	13823.263	11716.523	13351.41	16817.527	11964.406	15389.949	11405.59	9567.025	6428.6655	14865.341	15838.325	11168.986	21828.621	278.42105	297.41638	351.82214	303.0318	315.42285	308.43158	319.26022	276.35687	241.42856	223.17487	-75.84197
23	11064.476	15227.909	10956.762	12601.621	21195.598	11549.504	18370.186	10636.32	14266.604	16027.851	13064.383	11937.736	14173.627	12030.424	20734.697	16459.77	22414.188	13278.066	12017.787	12078.834	8824.062	339.65613	334.19095	358.03732	319.91214	314.0725	279.45456	275.6882	261.65295	229.81328	224.10576	-74.792816
24	18419.674	14051.61	17193.176	11172.566	11608.461	10184.881	9953.997	10624.438	19038.5	9773.57	14528.23	15901.2705	14337.775	18999.902	10007.72	11462.9375	6860.177	15217.848	13325.498	14630.382	20471.176	295.45175	307.75128	368.99377	307.78085	316.34543	306.09384	307.27322	282.03308	240.432	221.05034	-75.892784
25	12343.691	16739.602	16732.96	6964.276	13263.424	16914.76	7438.6377	13975.554	16819.484	10441.354	9614.798	13714.381	14702.639	12949.704	14035.619	14843.809	6250.707	13432.932	9934.471	10968.053	23250.256	288.46307	300.97833	341.49683	301.21503	318.3583	313.19305	330.0319	290.5472	254.04977	229.20381	-75.33323
26	13827.706	25621.129	16859.055	10484.05	13420.729	18655.008	9844.881	19046.11	16779.527	15789.703	10338.011	12510.473	18889.998	14703.999	26544.549	9606.293	17697.379	17842.186	13957.319	10818.304	13429.332	303.7831	313.4764	336.2286	315.54813	324.79535	307.93488	322.85266	280.24976	248.50763	236.91142	-75.37
27	18151.336	7871.054	11617.154	21443.318	10710.004	11461.942	15207.373	9043.584	15686.127	11613.045	14836.151	16228.261	10578.023	11046.688	10817.819	19533.918	13498.09	8868.817	17387.37	18101.084	14673.251	356.8096	362.7872	409.46887	358.25195	356.0569	325.83514	320.46655	292.0699	238.52914	225.75732	-76.16278
